id,source,group,group_en,group_ru,group_he,equipment,name_en,name_ru,name_he,movement_type,category,has_image,has_technique
mm_34_sit_up_0,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,3/4 Sit-Up,3/4 Сид-ап,3/4 סיט-אפ,isolation,strength,yes,yes
mm_9090_hamstring_1,mm,legs,Legs,Ноги,רגליים,bodyweight,90/90 Hamstring,90/90 Подъём ног для бицепса бедра,90/90 הרמת רגליים לשרירי הירך האחוריים,isolation,stretching,yes,yes
mm_ab_crunch_machine_2,mm,abdominals,Abdominals,Пресс,בטן,machine,Ab Crunch Machine,Тяга для пресса (тренажёр),מכונת כפיפות בטן,isolation,strength,yes,yes
mm_ab_roller_3,mm,abdominals,Abdominals,Пресс,בטן,other,Ab Roller,Ролик для пресса,גלגל כושר לבטן,isolation,strength,yes,yes
mm_adductor_4,mm,legs,Legs,Ноги,רגליים,foam_roll,Adductor,Приводящая мышца,מתמט (פנימי),stretching,stretching,yes,yes
mm_adductorgroin_5,mm,legs,Legs,Ноги,רגליים,other,Adductor/Groin,Приводящая мышца/пах,מתמט/מפשעה,stretching,stretching,yes,yes
mm_advanced_kettlebell_windmill_6,mm,abdominals,Abdominals,Пресс,בטן,kettlebells,Advanced Kettlebell Windmill,Продвинутый гиревой мельница,מכשיר אווירי מתקדם,compound,strength,yes,yes
mm_air_bike_7,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Air Bike,Воздушный велосипед,אופני אוויר,isolation,strength,yes,yes
mm_all_fours_quad_stretch_8,mm,legs,Legs,Ноги,רגליים,bodyweight,All Fours Quad Stretch,Растяжка квадрицепса на четвереньках,מתיחת רגליים על ארבע,stretching,stretching,yes,yes
mm_alternate_hammer_curl_9,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,dumbbells,Alternate Hammer Curl,"Сгибание рук с гантелями ""молот"" поочередно","כפיפות זרועות עם הלבנה ""פטיש"" לחלופין",isolation,strength,yes,yes
mm_alternate_heel_touchers_10,mm,abdominals,Abdominals,Пресс,בטן,bodyweight,Alternate Heel Touchers,Касания стоп поочередно,נגיעות בקצות האצבעות לחלופין,isolation,strength,yes,yes
mm_alternate_incline_dumbbell_curl_11,mm,elbow_flexors,Elbow Flexors,Сгибатели локтя,כופפי מרפק,dumbbells,Alternate Incline Dumbbell Curl,Сгибание рук с гантелями на наклонной скамье поочередно,כפיפות זרועות עם הלבנה על ספסל משופע לחלופין,isolation,strength,yes,yes
mm_alternate_leg_diagonal_bound_12,mm,legs,Legs,Ноги,רגליים,other,Alternate Leg Diagonal Bound,Альтернативный диагональный прыжок на одной ноге,קפיצה אלכסונית חליפית ברגל אחת,compound,plyometrics,yes,yes
mm_alternating_cable_shoulder_press_13,mm,shoulders,Shoulders,Плечи,כתפיים,cable,Alternating Cable Shoulder Press,Альтернативное жим плеч гантелями на тросе,לחיצת כתף מתחלפת עם כבל,compound,strength,yes,yes
mm_alternating_deltoid_raise_14,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Alternating Deltoid Raise,Альтернативное разведение рук в стороны,הרמת דלתואיד מתחלפת,isolation,strength,yes,yes
mm_alternating_floor_press_15,mm,chest,Chest,Грудь,חזה,kettlebells,Alternating Floor Press,Альтернативный жим лежа,לחיצה מתחלפת מהרצפה,compound,strength,yes,yes
mm_alternating_hang_clean_16,mm,legs,Legs,Ноги,רגליים,kettlebells,Alternating Hang Clean,Альтернативная тяга гантели к подбородку,נטילת משקולת מתחלפת לסנטר,compound,strength,yes,yes
mm_alternating_kettlebell_press_17,mm,shoulders,Shoulders,Плечи,כתפיים,kettlebells,Alternating Kettlebell Press,Альтернативный жим гири,לחיצת קטלבל מתחלפת,compound,strength,yes,yes
mm_alternating_kettlebell_row_18,mm,back,Back,Спина,גב,kettlebells,Alternating Kettlebell Row,Тяга гантели в наклоне поочередно,שור קטלבל חליפי,compound,strength,yes,yes
mm_alternating_renegade_row_19,mm,back,Back,Спина,גב,kettlebells,Alternating Renegade Row,Тяга гантелей в упоре поочередно,שור רנגד חליפי,compound,strength,yes,yes
mm_ankle_circles_20,mm,stretching,Stretching,Растяжка,מתיחות,other,Ankle Circles,Вращения лодыжками,עיגולי קרסול,isolation,stretching,yes,yes
mm_ankle_on_the_knee_21,mm,stretching,Stretching,Растяжка,מתיחות,other,Ankle On The Knee,Лодыжка на колене,קרסול על הברך,isolation,stretching,yes,yes
mm_anterior_tibialis_smr_22,mm,legs,Legs,Ноги,רגליים,other,Anterior Tibialis-SMR,Передняя большеберцовая мышца - СМР,שריר השוק הקדמי - טיפול ידני,isolation,stretching,yes,yes
mm_anti_gravity_press_23,mm,shoulders,Shoulders,Плечи,כתפיים,barbell,Anti-Gravity Press,Пресс в антигравитации,לחיצת אנטי-כבידה,isolation,strength,yes,yes
mm_arm_circles_24,mm,warmup,Warm-up,Разминка,חימום,other,Arm Circles,Вращения руками,מעגלי זרועות,isolation,stretching,yes,yes
mm_arnold_dumbbell_press_25,mm,shoulders,Shoulders,Плечи,כתפיים,dumbbells,Arnold Dumbbell Press,Жим Арнольда с гантелями,לחיצת ארנולד עם משקולות,compound,strength,yes,yes
mm_around_the_worlds_26,mm,chest,Chest,Грудь,חזה,dumbbells,Around The Worlds,Вокруг Мира,סיבובי עולם,isolation,strength,yes,yes
mm_atlas_stone_trainer_27,mm,legs,Legs,Ноги,רגליים,other,Atlas Stone Trainer,Тренажер Атласного Камня,מכשיר אבן אטלס,compound,strongman,yes,yes
